팀명,년도,순위_hit,AVG_hit,G_hit,PA,AB,R_hit,H_hit,2B_hit,3B_hit,HR_hit,TB,RBI,SAC_hit,SF_hit,BB_hit,IBB_hit,HBP_hit,SO_hit,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,순위_pit,ERA,G_pit,W,L,SV,HLD,WPCT,IP,H_pit,HR_pit,BB_pit,HBP_pit,SO_pit,R_pit,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG_pit,2B_pit,3B_pit,SAC_pit,SF_pit,IBB_pit,WP,BK,순위_run,G_run,SBA,SB_run,CS_run,SB%,OOB,PKO_run,순위_def,G_def,E,PKO_def,PO,A,DP,FPCT,PB,SB_def,CS_def,CS%
롯데,2017,6,0.285,144,5671,4994,743,1425,250,17,151,2162,697,76,32,457,33,112,1018,146,0.433,0.356,0.789,144,0.28,0.229,3,4.56,144,80,62,39,59,0.563,1287 1/3,1357,162,477,79,1096,701,652,1.42,1,10,61,21,5634,21978,0.273,245,20,51,50,25,67,7,3,144,136,92,44,67.6,52,10,3,144,86,10,3862,1514,132,0.984,14,87,45,34.1
LG,2017,7,0.281,144,5614,4944,699,1390,216,20,110,1976,663,76,55,438,17,101,1021,123,0.4,0.348,0.748,144,0.295,0.217,1,4.3,144,69,72,32,66,0.489,1279,1305,124,379,102,1040,677,611,1.32,4,6,62,18,5507,21107,0.266,249,29,57,54,31,81,3,5,144,133,77,56,57.9,50,9,6,144,103,12,3837,1434,127,0.981,9,62,37,37.4
삼성,2017,8,0.279,144,5707,5095,757,1419,255,36,145,2181,703,58,55,429,17,70,983,97,0.428,0.34,0.768,144,0.285,0.22,10,5.88,144,55,84,27,34,0.396,1281 1/3,1541,187,548,118,1063,911,837,1.63,1,3,43,12,5916,23196,0.3,281,28,56,59,15,74,4,1,144,135,98,37,72.6,53,6,5,144,95,6,3844,1454,152,0.982,14,64,35,35.4
KT,2017,9,0.275,144,5485,4937,655,1360,274,17,119,2025,625,62,45,374,11,66,1017,118,0.41,0.332,0.742,144,0.29,0.239,9,5.75,144,50,94,22,41,0.347,1256,1524,174,433,95,913,876,803,1.56,4,7,49,18,5702,21518,0.301,283,27,68,49,11,77,6,4,144,137,86,51,62.8,54,8,10,144,112,6,3768,1460,134,0.979,10,109,43,28.3
SK,2017,10,0.271,144,5564,4925,761,1337,222,15,234,2291,733,57,41,427,20,113,1100,97,0.465,0.341,0.806,144,0.273,0.237,6,5.02,144,75,68,30,64,0.524,1270 2/3,1443,154,481,105,940,767,709,1.51,2,4,57,24,5692,21752,0.288,271,17,58,36,35,61,7,10,144,95,53,42,55.8,33,7,9,144,108,15,3812,1552,139,0.98,8,80,39,32.8
두산,2018,1,0.309,144,5870,5176,944,1601,284,30,191,2518,898,43,63,496,16,92,1016,112,0.486,0.376,0.862,144,0.317,0.263,3,4.98,144,93,51,41,56,0.646,1288 2/3,1401,154,476,109,1025,756,713,1.46,1,9,73,17,5700,21946,0.279,266,16,42,43,17,72,2,5,144,119,96,23,80.7,54,7,1,144,77,2,3866,1403,147,0.986,8,68,43,38.7
KIA,2018,2,0.295,144,5744,5036,865,1487,258,22,170,2299,823,56,50,503,27,99,905,135,0.457,0.367,0.824,144,0.302,0.207,9,5.4,144,70,74,26,43,0.486,1270 2/3,1511,181,445,69,1017,826,763,1.54,4,5,50,20,5708,21852,0.297,271,17,47,51,28,65,3,6,144,125,88,37,70.4,53,6,8,144,94,8,3812,1371,127,0.982,11,95,40,29.6
LG,2018,3,0.293,144,5665,5070,788,1487,299,12,148,2254,740,51,51,418,14,75,1001,125,0.445,0.353,0.798,144,0.307,0.245,6,5.29,144,68,75,29,43,0.476,1268 2/3,1434,159,453,89,1058,816,746,1.49,3,7,64,17,5677,21711,0.285,266,19,45,50,13,72,4,9,144,109,71,38,65.1,48,7,9,144,100,7,3806,1404,121,0.981,10,100,41,29.1
롯데,2018,4,0.289,144,5764,5130,821,1484,289,17,203,2416,792,45,37,471,22,81,1157,124,0.471,0.356,0.827,144,0.29,0.25,8,5.37,144,68,74,29,64,0.479,1283 2/3,1410,166,548,73,1164,846,766,1.53,0,6,43,22,5788,22871,0.279,295,26,63,43,23,65,7,10,144,100,68,32,68.0,46,10,3,144,117,5,3851,1426,132,0.978,14,101,41,28.9
넥센,2018,5,0.288,144,5780,5141,825,1481,288,19,165,2302,787,32,50,472,25,85,1208,93,0.448,0.355,0.803,144,0.296,0.265,4,5.08,144,75,69,32,72,0.521,1282,1442,178,416,98,1021,780,723,1.45,4,2,63,23,5646,21381,0.285,252,18,41,33,13,59,4,4,144,134,101,33,75.4,45,6,4,144,106,16,3846,1506,147,0.981,7,70,39,35.8
삼성,2018,6,0.288,144,5766,5109,776,1471,241,29,146,2208,732,57,45,468,14,87,1034,115,0.432,0.355,0.787,144,0.282,0.237,5,5.19,144,68,72,33,56,0.486,1285 1/3,1477,185,441,107,1114,802,741,1.49,0,5,58,17,5740,22530,0.289,291,18,40,43,10,45,5,2,144,168,116,52,69.0,46,4,2,144,79,5,3856,1337,133,0.985,7,100,38,27.5
SK,2018,7,0.281,144,5682,4992,829,1403,234,13,233,2362,791,54,34,483,6,119,1079,103,0.473,0.356,0.829,144,0.288,0.241,1,4.67,144,78,65,29,63,0.545,1274 2/3,1353,189,425,74,1130,729,662,1.39,0,7,60,21,5563,21347,0.271,232,17,39,24,15,62,2,3,144,147,108,39,73.5,51,10,5,144,116,6,3824,1434,133,0.978,6,95,39,29.1
한화,2018,8,0.275,144,5539,4972,729,1369,249,14,151,2099,668,31,28,420,17,88,1098,113,0.422,0.341,0.763,144,0.283,0.231,2,4.93,144,77,67,37,62,0.535,1274,1394,164,472,89,1124,761,698,1.46,0,5,45,13,5637,22342,0.279,246,13,29,46,9,78,7,1,144,182,118,64,64.8,58,10,7,144,99,10,3822,1397,141,0.981,11,83,41,33.1
KT,2018,9,0.275,144,5605,5026,757,1382,264,13,206,2290,721,43,26,464,14,46,1109,103,0.456,0.34,0.796,144,0.273,0.262,7,5.34,144,59,82,24,45,0.418,1274 1/3,1580,194,409,84,1025,834,756,1.56,4,5,59,18,5743,21948,0.307,272,23,56,43,25,63,1,8,144,137,80,57,58.4,63,7,6,144,99,9,3823,1502,161,0.982,21,99,42,29.8
NC,2018,10,0.261,144,5488,4895,660,1280,233,18,143,1978,629,35,43,427,15,88,1081,115,0.404,0.329,0.733,143,0.268,0.284,10,5.48,144,58,85,24,51,0.406,1264,1443,186,537,68,1010,844,769,1.57,1,4,45,20,5701,22506,0.289,248,20,45,51,17,92,6,7,144,117,82,35,70.1,48,8,10,144,107,7,3792,1401,141,0.98,19,86,46,34.8
키움,2019,1,0.282,144,5658,4991,780,1405,251,38,112,2068,741,36,48,514,13,69,943,122,0.414,0.354,0.768,144,0.3,0.276,3,3.61,144,86,57,39,91,0.601,1279,1293,61,371,58,984,572,513,1.3,2,12,76,11,5427,20160,0.263,244,24,42,39,3,45,6,2,144,143,110,33,76.9,37,6,5,144,99,13,3837,1509,128,0.982,6,92,46,33.3
NC,2019,2,0.278,144,5631,4968,674,1383,249,26,128,2068,639,64,60,456,14,83,880,126,0.416,0.345,0.761,144,0.266,0.179,5,4.01,144,73,69,32,68,0.514,1284 1/3,1285,103,483,92,991,631,572,1.38,5,8,60,17,5578,21407,0.262,199,19,41,54,10,68,2,8,144,132,87,45,65.9,53,7,2,144,95,6,3853,1477,130,0.982,4,64,49,43.4
두산,2019,3,0.278,144,5670,4913,736,1364,235,31,84,1913,691,39,83,563,16,72,799,117,0.389,0.355,0.744,144,0.277,0.202,2,3.51,144,88,55,44,69,0.615,1283 2/3,1259,78,380,70,860,550,500,1.28,3,10,81,16,5434,20630,0.257,231,22,41,53,22,48,5,7,144,140,102,38,72.9,59,7,3,144,83,8,3851,1430,131,0.985,6,96,32,25.0
KT,2019,4,0.277,144,5582,4965,650,1375,187,20,103,1911,615,45,45,475,15,52,975,113,0.385,0.344,0.729,144,0.27,0.218,6,4.29,144,71,71,37,59,0.5,1277,1303,118,481,61,848,661,608,1.4,2,10,62,9,5533,20662,0.266,225,25,47,42,17,50,6,6,144,148,104,44,70.3,58,8,6,144,102,7,3831,1479,137,0.981,15,90,43,32.3
LG,2019,5,0.267,144,5536,4928,641,1316,233,15,94,1861,604,49,48,434,17,77,962,117,0.378,0.333,0.711,144,0.265,0.222,4,3.86,144,79,64,43,62,0.552,1283 1/3,1257,89,499,91,953,633,551,1.37,1,9,73,13,5555,20969,0.258,223,23,40,48,15,64,1,3,144,155,108,47,69.7,38,6,4,144,95,6,3850,1507,139,0.983,7,115,41,26.3
KIA,2019,6,0.264,144,5505,4874,605,1286,248,19,76,1800,567,31,45,497,13,58,919,108,0.369,0.336,0.705,144,0.256,0.19,8,4.65,144,62,80,30,64,0.437,1264,1362,101,504,76,976,723,653,1.48,3,11,59,13,5614,21353,0.276,257,24,35,61,17,51,2,8,144,129,87,42,67.4,61,7,10,144,110,5,3792,1381,126,0.979,9,116,50,30.1
SK,2019,7,0.262,144,5542,4919,655,1290,218,14,117,1887,622,35,38,462,20,87,966,92,0.384,0.334,0.718,144,0.278,0.252,1,3.48,144,88,55,51,92,0.615,1292 1/3,1240,99,436,50,1092,546,500,1.3,0,19,78,8,5463,20930,0.254,176,14,48,44,12,50,4,1,144,168,118,50,70.2,51,12,1,144,87,9,3877,1416,131,0.984,3,105,31,22.8
한화,2019,8,0.256,144,5482,4882,607,1250,223,16,88,1769,562,44,45,441,12,70,1090,112,0.362,0.324,0.686,143,0.255,0.187,9,4.8,144,58,86,28,43,0.403,1268 2/3,1407,120,526,72,934,737,677,1.52,2,8,48,17,5656,21848,0.283,238,19,44,44,9,66,4,5,144,156,105,51,67.3,51,6,9,144,106,8,3806,1488,151,0.98,10,104,49,32.0
삼성,2019,9,0.256,144,5533,4866,622,1245,230,26,122,1893,598,58,53,478,15,78,976,107,0.389,0.329,0.718,143,0.254,0.204,7,4.64,144,60,83,29,60,0.42,1275 1/3,1332,125,523,70,924,731,658,1.45,4,8,54,15,5638,21721,0.269,253,37,40,56,9,49,5,4,144,149,107,42,71.8,45,7,7,144,105,4,3826,1370,132,0.98,9,90,38,29.7
롯데,2019,10,0.25,144,5488,4919,578,1231,214,22,90,1759,545,35,40,429,12,65,1085,108,0.358,0.316,0.674,144,0.25,0.193,10,4.83,144,48,93,16,47,0.34,1271,1407,120,546,71,1033,764,682,1.54,1,8,47,17,5729,21946,0.282,242,20,58,64,33,103,4,10,144,96,65,31,67.7,49,8,8,144,114,8,3813,1432,131,0.979,11,91,44,32.6
두산,2020,1,0.293,144,5776,5046,816,1477,263,20,125,2155,778,38,73,551,20,68,796,132,0.427,0.365,0.792,142,0.291,0.246,1,4.31,144,79,61,23,45,0.564,1285 2/3,1395,109,478,61,1046,695,616,1.46,1,13,63,15,5681,22408,0.276,258,25,48,41,22,52,4,6,144,125,88,37,70.4,63,4,4,144,85,10,3857,1282,126,0.984,6,91,25,21.6
NC,2020,2,0.291,144,5833,5102,888,1483,258,28,187,2358,845,46,51,529,21,104,997,106,0.462,0.366,0.828,144,0.33,0.286,5,4.58,144,83,55,31,88,0.601,1296 2/3,1292,153,547,79,1049,714,660,1.42,0,7,59,19,5690,22362,0.26,199,15,53,35,10,65,7,4,144,139,101,38,72.7,49,7,1,144,87,9,3890,1294,120,0.983,10,49,42,46.2
KT,2020,3,0.284,144,5762,5047,813,1432,238,21,163,2201,767,64,45,554,20,52,1097,104,0.436,0.358,0.794,144,0.289,0.192,4,4.54,144,81,62,33,71,0.566,1290 1/3,1357,118,523,59,848,715,651,1.46,0,5,56,23,5680,21496,0.271,227,9,45,48,20,75,1,3,144,156,106,50,67.9,49,6,3,144,102,4,3871,1486,154,0.981,10,75,21,21.9
LG,2020,4,0.277,144,5681,4999,802,1384,253,29,149,2142,760,49,49,509,21,75,969,115,0.428,0.349,0.777,144,0.31,0.223,2,4.37,144,79,61,29,67,0.564,1292 2/3,1344,123,493,86,1019,694,627,1.42,2,13,70,19,5655,21725,0.27,240,17,38,56,12,49,4,7,144,122,83,39,68.0,64,5,2,144,80,6,3878,1460,156,0.985,9,89,36,28.8
롯데,2020,5,0.276,144,5669,4958,750,1366,252,6,131,2023,711,39,48,569,18,55,875,148,0.408,0.353,0.761,144,0.283,0.216,6,4.64,144,71,72,25,59,0.497,1277 1/3,1351,143,447,58,1002,720,659,1.41,1,16,59,18,5583,21520,0.271,241,17,51,40,25,62,4,5,144,121,90,31,74.4,52,3,6,144,94,3,3832,1444,124,0.982,7,95,28,22.8
KIA,2020,6,0.274,144,5642,4937,724,1355,224,13,130,1995,692,63,38,535,10,69,957,114,0.404,0.351,0.755,144,0.284,0.258,8,5.13,144,73,71,33,79,0.507,1270,1399,120,559,70,1038,795,724,1.54,1,5,57,18,5681,22134,0.284,265,34,59,59,8,78,4,10,144,72,47,25,65.3,47,6,8,144,100,7,3810,1480,169,0.981,10,82,46,35.9
키움,2020,7,0.269,144,5721,4945,759,1332,254,25,127,2017,713,43,52,608,16,73,1030,107,0.408,0.355,0.763,144,0.281,0.211,3,4.39,144,80,63,42,81,0.559,1280 1/3,1336,126,446,73,950,692,624,1.39,0,6,53,18,5556,21349,0.27,208,15,50,39,16,51,7,2,144,140,113,27,80.7,40,11,5,144,112,15,3841,1544,143,0.98,8,87,39,31.0
삼성,2020,8,0.268,144,5574,4923,699,1317,211,12,129,1939,658,50,53,486,10,62,990,117,0.394,0.338,0.732,144,0.272,0.26,7,4.78,144,64,75,25,80,0.46,1272 1/3,1330,151,542,67,931,745,676,1.47,3,11,53,19,5634,22269,0.27,222,16,50,47,16,55,5,1,144,181,132,49,72.9,42,14,7,144,102,9,3817,1310,126,0.98,6,57,38,40.0
SK,2020,9,0.25,144,5502,4839,634,1212,177,17,143,1852,595,49,34,511,18,69,981,112,0.383,0.329,0.712,144,0.254,0.203,10,5.57,144,51,92,20,53,0.357,1259 1/3,1343,162,670,84,953,846,780,1.6,1,3,47,19,5727,22729,0.275,225,17,41,46,12,85,5,8,144,126,81,45,64.3,44,16,10,144,99,6,3778,1326,139,0.981,6,129,57,30.6
한화,2020,10,0.245,144,5483,4862,551,1189,195,12,79,1645,523,45,25,462,9,89,1163,119,0.338,0.32,0.658,144,0.245,0.22,9,5.28,144,46,95,21,54,0.326,1265,1400,158,609,79,1019,820,742,1.59,1,6,40,15,5756,22882,0.282,240,18,51,57,22,76,5,9,144,87,51,36,58.6,43,4,9,144,100,7,3795,1279,133,0.981,10,120,45,27.3
롯데,2021,1,0.278,144,5726,5009,727,1393,266,10,107,2000,697,38,46,579,19,54,969,114,0.399,0.356,0.755,144,0.286,0.253,10,5.37,144,65,71,37,76,0.478,1271,1333,133,659,87,1054,808,758,1.57,1,12,46,15,5759,22835,0.271,253,16,53,40,19,102,5,10,144,91,60,31,65.9,54,8,3,144,85,9,3813,1403,124,0.984,8,101,44,30.3
두산,2021,2,0.268,144,5645,4900,738,1314,235,17,110,1913,698,46,53,560,13,86,943,137,0.39,0.35,0.74,143,0.289,0.261,3,4.26,144,71,65,28,61,0.522,1269 1/3,1295,104,587,73,1045,656,601,1.48,2,10,55,15,5631,22163,0.267,212,21,61,61,16,52,7,8,144,118,81,37,68.6,47,10,5,144,89,8,3806,1293,120,0.983,10,83,48,36.6
삼성,2021,3,0.267,144,5552,4836,712,1292,204,18,133,1931,669,48,68,545,21,55,902,98,0.399,0.344,0.743,144,0.268,0.21,4,4.3,144,76,59,46,80,0.563,1259,1297,131,530,51,1038,658,601,1.45,2,14,66,13,5536,21926,0.266,230,24,45,36,13,58,3,1,144,160,116,44,72.5,47,7,8,144,88,6,3776,1333,130,0.983,5,61,26,29.9
KT,2021,4,0.265,144,5627,4810,719,1276,219,11,106,1835,673,69,44,645,27,58,1047,105,0.381,0.356,0.737,142,0.271,0.227,2,3.67,144,76,59,33,74,0.563,1264,1176,86,489,42,1062,584,515,1.32,2,6,76,16,5397,20893,0.246,184,13,46,48,18,56,1,2,144,158,112,46,70.9,48,5,6,144,112,7,3792,1464,133,0.979,7,93,31,25.0
SSG,2021,5,0.261,144,5736,4899,755,1278,204,13,185,2063,712,55,52,637,23,93,1056,106,0.421,0.353,0.774,143,0.261,0.259,8,4.82,144,66,64,25,56,0.508,1276 2/3,1296,149,629,78,1012,741,684,1.51,0,5,42,24,5706,22459,0.265,214,14,54,50,27,41,9,5,144,143,100,43,69.9,42,3,1,144,102,14,3830,1407,124,0.981,12,105,46,30.5
NC,2021,6,0.261,144,5532,4808,702,1254,203,17,170,2001,670,59,43,511,14,111,1093,94,0.416,0.343,0.759,143,0.26,0.224,6,4.54,144,67,68,33,80,0.496,1256 2/3,1268,125,592,77,1055,697,634,1.48,3,10,53,18,5622,22346,0.26,231,15,34,41,14,75,8,4,144,147,101,46,68.7,39,9,10,144,111,4,3770,1287,105,0.979,5,84,40,32.3
키움,2021,7,0.259,144,5653,4874,722,1262,244,28,91,1835,671,35,56,595,17,93,1053,93,0.376,0.347,0.723,143,0.279,0.227,5,4.31,144,70,67,30,56,0.511,1263 1/3,1281,101,566,80,900,700,605,1.46,1,7,57,16,5599,21670,0.264,223,7,55,48,27,59,4,6,144,123,97,26,78.9,39,3,7,144,129,14,3790,1529,153,0.976,5,85,35,29.2
LG,2021,8,0.25,144,5533,4750,654,1188,210,11,110,1750,621,52,45,592,16,94,926,102,0.368,0.342,0.71,143,0.251,0.273,1,3.57,144,72,58,32,81,0.554,1272 1/3,1126,80,545,98,1068,561,505,1.31,0,18,50,14,5453,21456,0.238,197,18,45,43,18,43,5,7,144,126,92,34,73.0,43,15,2,144,91,4,3817,1480,147,0.983,12,98,40,29.0
KIA,2021,9,0.248,144,5577,4831,568,1198,183,21,66,1621,546,41,37,595,16,73,921,119,0.336,0.337,0.673,143,0.263,0.203,9,4.89,144,58,76,36,94,0.433,1269,1286,134,622,104,951,752,690,1.5,1,6,39,16,5701,22375,0.265,214,16,58,63,5,59,9,9,144,104,73,31,70.2,46,8,4,144,110,9,3807,1365,140,0.979,10,92,43,31.9
한화,2021,10,0.237,144,5495,4685,599,1111,213,17,80,1598,554,54,49,633,14,74,1286,110,0.341,0.334,0.675,143,0.248,0.195,7,4.65,144,49,83,21,62,0.371,1258 2/3,1208,115,673,101,1011,739,650,1.49,1,6,41,19,5672,22852,0.252,223,19,46,63,23,56,11,3,144,165,109,56,66.1,59,14,8,144,120,7,3776,1260,121,0.977,7,111,41,27.0
